RegionID,last_months_since_2000,Zillow_Home_Value_Index_last,forecast_months_since_2000_h1,Zillow_Home_Value_Index_pred_t_plus_1,forecast_months_since_2000_h3,Zillow_Home_Value_Index_pred_t_plus_3,forecast_months_since_2000_h12,Zillow_Home_Value_Index_pred_t_plus_12
394549,305,420294.0922776618,306,432538.6932504795,308,432538.6932504795,317,432538.6932504795
394550,305,171459.61742023216,306,177651.25100812598,308,177651.25100812598,317,177651.25100812598
394551,305,234413.9041879659,306,233585.709272176,308,233585.709272176,317,233585.709272176
394553,305,314717.36966949067,306,314603.27341051423,308,314603.27341051423,317,314603.27341051423
394554,305,500818.0907588128,306,482383.48173821525,308,482383.48173821525,317,482383.48173821525
394555,305,321944.53341805906,306,320187.126882994,308,320187.126882994,317,320187.126882994
394556,305,1286305.098255673,306,1282303.8203329938,308,1282303.8203329938,317,1282303.8203329938
394557,305,219186.0487014673,306,218315.51054137302,308,218315.51054137302,317,218315.51054137302
394558,305,239333.3948911659,306,237065.98259505414,308,237065.98259505414,317,237065.98259505414
394559,305,367408.05553281866,306,367008.55444134853,308,367008.55444134853,317,367008.55444134853
394560,305,127496.1355771597,306,131994.7834921031,308,131994.7834921031,317,131994.7834921031
394561,305,226429.592150914,306,226208.63355475236,308,226208.63355475236,317,226208.63355475236
394562,305,264568.19890140207,306,263910.45580886916,308,263910.45580886916,317,263910.45580886916
394563,305,244232.4947669312,306,245580.69783777968,308,245580.69783777968,317,245580.69783777968
394564,305,145611.0845054267,306,146017.86570791464,308,146017.86570791464,317,146017.86570791464
394565,305,252374.4678472136,306,254317.0780487114,308,254317.0780487114,317,254317.0780487114
394566,305,357285.9601913753,306,357957.9559616246,308,357957.9559616246,317,357957.9559616246
394567,305,499774.2506263473,306,537628.6003354096,308,537628.6003354096,317,537628.6003354096
394568,305,152826.82558065117,306,150641.70241567135,308,150641.70241567135,317,150641.70241567135
394569,305,190946.93056709573,306,188703.32463500823,308,188703.32463500823,317,188703.32463500823
394570,305,138095.0896264162,306,141181.28453031578,308,141181.28453031578,317,141181.28453031578
394571,305,175744.04467209335,306,175123.31792515737,308,175123.31792515737,317,175123.31792515737
394572,305,212283.88968216928,306,212990.09910918333,308,212990.09910918333,317,212990.09910918333
394573,305,199673.4194201217,306,197530.0053449155,308,197530.0053449155,317,197530.0053449155
394574,305,340345.8779085691,306,340337.17393221415,308,340337.17393221415,317,340337.17393221415
394576,305,461014.2512851041,306,462544.6303597919,308,462544.6303597919,317,462544.6303597919
394577,305,437316.9252958075,306,436121.61350220395,308,436121.61350220395,317,436121.61350220395
394578,305,328589.1244155475,306,319087.24114405806,308,319087.24114405806,317,319087.24114405806
394579,305,219256.41002682352,306,220056.03668670155,308,220056.03668670155,317,220056.03668670155
394580,305,305301.5399862607,306,311929.1553750299,308,311929.1553750299,317,311929.1553750299
394582,305,159166.37002077032,306,153224.5311775206,308,153224.5311775206,317,153224.5311775206
394584,305,387382.3302178473,306,384360.6931162842,308,384360.6931162842,317,384360.6931162842
394585,305,324577.6179994284,306,324408.3846397305,308,324408.3846397305,317,324408.3846397305
394586,305,351332.49941563816,306,341870.6363218855,308,341870.6363218855,317,341870.6363218855
394587,305,190612.03083068103,306,193294.60205650047,308,193294.60205650047,317,193294.60205650047
394588,305,257113.3848436304,306,280873.8919002021,308,280873.8919002021,317,280873.8919002021
394589,305,248883.7476093612,306,247982.83611406814,308,247982.83611406814,317,247982.83611406814
394590,305,361434.7590434043,306,371533.0188025579,308,371533.0188025579,317,371533.0188025579
394591,305,331346.4574134093,306,339326.6031330207,308,339326.6031330207,317,339326.6031330207
394592,305,412413.7556680813,306,409641.1328090511,308,409641.1328090511,317,409641.1328090511
394593,305,236317.8424870715,306,232980.68112405168,308,232980.68112405168,317,232980.68112405168
394594,305,118790.6936910082,306,132560.36012775468,308,132560.36012775468,317,132560.36012775468
394595,305,636257.1386079976,306,599459.2774613159,308,599459.2774613159,317,599459.2774613159
394596,305,191345.25162683896,306,191945.89347745004,308,191945.89347745004,317,191945.89347745004
394597,305,183542.1471839801,306,183975.63042822958,308,183975.63042822958,317,183975.63042822958
394598,305,206494.36325118985,306,210847.24178898425,308,210847.24178898425,317,210847.24178898425
394599,305,279224.180118166,306,282707.5122966478,308,282707.5122966478,317,282707.5122966478
394600,305,214024.3155480621,306,231557.05132294318,308,231557.05132294318,317,231557.05132294318
394601,305,77058.34712987607,306,77589.53221077751,308,77589.53221077751,317,77589.53221077751
394602,305,563429.7286396286,306,566096.3565023077,308,566096.3565023077,317,566096.3565023077
394604,305,226184.50613455143,306,227823.4074465296,308,227823.4074465296,317,227823.4074465296
394605,305,118678.91406344344,306,119529.48776529543,308,119529.48776529543,317,119529.48776529543
394606,305,331645.391904458,306,327367.76911878807,308,327367.76911878807,317,327367.76911878807
394608,305,158095.0857435844,306,158467.83132239326,308,158467.83132239326,317,158467.83132239326
394609,305,198869.8691597324,306,199105.77412940466,308,199105.77412940466,317,199105.77412940466
394612,305,253273.40697618155,306,251452.3686295093,308,251452.3686295093,317,251452.3686295093
394613,305,215036.38679040875,306,212534.78599326249,308,212534.78599326249,317,212534.78599326249
394614,305,248757.1881577253,306,236544.84108543838,308,236544.84108543838,317,236544.84108543838
394615,305,521864.5378347915,306,533458.0154886559,308,533458.0154886559,317,533458.0154886559
394616,305,153016.0405527392,306,158700.63784501766,308,158700.63784501766,317,158700.63784501766
394617,305,240570.80285218253,306,233998.75618207743,308,233998.75618207743,317,233998.75618207743
394618,305,185793.7405273501,306,190619.5863456428,308,190619.5863456428,317,190619.5863456428
394619,305,406752.7152367588,306,414445.6726873622,308,414445.6726873622,317,414445.6726873622
394620,305,174572.79901638578,306,181244.90064998943,308,181244.90064998943,317,181244.90064998943
394621,305,180119.4400719034,306,185927.06450312948,308,185927.06450312948,317,185927.06450312948
394622,305,306214.8888079233,306,307535.80013415305,308,307535.80013415305,317,307535.80013415305
394623,305,389596.3773482607,306,390290.8469138145,308,390290.8469138145,317,390290.8469138145
394624,305,326809.3055024623,306,324369.544148372,308,324369.544148372,317,324369.544148372
394625,305,110996.84037494483,306,115163.38027306713,308,115163.38027306713,317,115163.38027306713
394626,305,215993.96676465136,306,217167.46890748388,308,217167.46890748388,317,217167.46890748388
394627,305,233617.55109690104,306,230093.9138795852,308,230093.9138795852,317,230093.9138795852
394628,305,692135.4044082863,306,689371.8184505083,308,689371.8184505083,317,689371.8184505083
394629,305,384542.7933937656,306,385794.7081616742,308,385794.7081616742,317,385794.7081616742
394630,305,330617.241632403,306,335630.0079065439,308,335630.0079065439,317,335630.0079065439
394631,305,354712.2657511923,306,351591.9875431614,308,351591.9875431614,317,351591.9875431614
394632,305,197478.9911622149,306,194989.46411917228,308,194989.46411917228,317,194989.46411917228
394633,305,300839.76886679605,306,309318.18181296793,308,309318.18181296793,317,309318.18181296793
394634,305,207432.5893322389,306,206563.90061831992,308,206563.90061831992,317,206563.90061831992
394635,305,178295.7106239423,306,177853.7610384348,308,177853.7610384348,317,177853.7610384348
394637,305,263738.4672525422,306,256823.30660330545,308,256823.30660330545,317,256823.30660330545
